County,Population 2010,Population 2020,Neighboring Counties
Alamance,151131,171415,"Guilford, Randolph, Chatham, Orange, Caswell"
Alexander,37198,36444,"Wilkes, Caldwell, Catawba, Iredell"
Alleghany,11155,10888,"Ashe, Wilkes, Surry"
Anson,26948,22055,"Union, Stanly, Richmond"
Ashe,27281,26577,"Watauga, Wilkes, Alleghany"
Avery,17797,17806,"Mitchell, McDowell, Burke, Caldwell, Watauga"
Beaufort,47759,44652,"Martin, Washington, Hyde, Pamlico, Craven, Pitt"
Bertie,21282,17934,"Hertford, Chowan, Washington, Martin, Halifax, Northampton"
Bladen,35190,29606,"Robeson, Columbus, Pender, Sampson, Cumberland"
Brunswick,107431,136693,"Columbus, Pender, New Hanover"
Buncombe,238318,269452,"Haywood, Madison, Yancey, McDowell, Rutherford, Henderson"
Burke,90912,87570,"Avery, McDowell, Rutherford, Cleveland, Catawba, Caldwell"
Cabarrus,178011,225804,"Mecklenburg, Iredell, Rowan, Stanly, Union"
Caldwell,83029,80652,"Avery, Watauga, Wilkes, Alexander, Catawba, Burke"
Camden,9980,10355,"Gates, Currituck, Pasquotank"
Carteret,66469,67686,"Hyde, Pamlico, Craven, Jones, Onslow"
Caswell,23719,22736,"Rockingham, Alamance, Orange, Person"
Catawba,154358,160610,"Burke, Caldwell, Alexander, Iredell, Lincoln"
Chatham,63505,76285,"Randolph, Alamance, Orange, Durham, Wake, Harnett, Lee, Moore"
Cherokee,27444,28774,"Graham, Macon, Clay"
Chowan,14793,13708,"Perquimans, Washington, Bertie, Hertford, Gates"
Clay,10587,11089,"Cherokee, Macon"
Cleveland,98078,99519,"Rutherford, Burke, Lincoln, Gaston"
Columbus,58098,50623,"Bladen, Brunswick, Pender, Robeson"
Craven,103505,100720,"Pitt, Beaufort, Pamlico, Carteret, Jones, Lenoir"
Cumberland,319431,334728,"Harnett, Sampson, Bladen, Robeson, Hoke, Moore"
Currituck,23547,28100,"Camden, Dare, Tyrrell"
Dare,33920,36915,"Currituck, Tyrrell, Hyde"
Davidson,162878,168930,"Forsyth, Davie, Rowan, Montgomery, Randolph, Guilford"
Davie,41240,42712,"Forsyth, Yadkin, Iredell, Rowan, Davidson"
Duplin,58505,48715,"Sampson, Wayne, Lenoir, Jones, Onslow, Pender"
Durham,267587,324833,"Orange, Person, Granville, Wake, Chatham"
Edgecombe,56552,48900,"Halifax, Martin, Pitt, Wilson, Nash"
