County,Population 2010,Population 2020,Neighboring Counties,2010 District
Alamance,151131,171415,"Guilford, Randolph, Chatham, Orange, Caswell",6
Alexander,37198,36444,"Wilkes, Caldwell, Catawba, Iredell",5
Alleghany,11155,10888,"Ashe, Wilkes, Surry",5
Anson,26948,22055,"Union, Stanly, Richmond",8
Ashe,27281,26577,"Watauga, Wilkes, Alleghany",5
Avery,17797,17806,"Mitchell, McDowell, Burke, Caldwell, Watauga",11
Beaufort,47759,44652,"Martin, Washington, Hyde, Pamlico, Craven, Pitt",3
Bertie,21282,17934,"Hertford, Chowan, Washington, Martin, Halifax, Northampton",1
Bladen,35190,29606,"Robeson, Columbus, Pender, Sampson, Cumberland",7
Brunswick,107431,136693,"Columbus, Pender, New Hanover",7
Buncombe,238318,269452,"Haywood, Madison, Yancey, McDowell, Rutherford, Henderson",10
Burke,90912,87570,"Avery, McDowell, Rutherford, Cleveland, Catawba, Caldwell",11
Cabarrus,178011,225804,"Mecklenburg, Iredell, Rowan, Stanly, Union",12
Caldwell,83029,80652,"Avery, Watauga, Wilkes, Alexander, Catawba, Burke",11
Camden,9980,10355,"Gates, Currituck, Pasquotank",1
Carteret,66469,67686,"Hyde, Pamlico, Craven, Jones, Onslow",3
Caswell,23719,22736,"Rockingham, Alamance, Orange, Person",6
Catawba,154358,160610,"Burke, Caldwell, Alexander, Iredell, Lincoln",10
Chatham,63505,76285,"Randolph, Alamance, Orange, Durham, Wake, Harnett, Lee, Moore",4
Cherokee,27444,28774,"Graham, Macon, Clay",11
Chowan,14793,13708,"Perquimans, Washington, Bertie, Hertford, Gates",1
Clay,10587,11089,"Cherokee, Macon",11
Cleveland,98078,99519,"Rutherford, Burke, Lincoln, Gaston",10
Columbus,58098,50623,"Bladen, Brunswick, Pender, Robeson",7
Craven,103505,100720,"Pitt, Beaufort, Pamlico, Carteret, Jones, Lenoir",3
Cumberland,319431,334728,"Harnett, Sampson, Bladen, Robeson, Hoke, Moore",4
Currituck,23547,28100,"Camden, Dare, Tyrrell",1
Dare,33920,36915,"Currituck, Tyrrell, Hyde",3
